.id,x,pressure,depth,temperature,temp2,sal1,sal2,density1,density2,o1,o2,o3,o4,cdom,fluor1,atten,trans,par,spar,lat,lon,y0,y00,stnname,transect
stnx.10,NA,6.645,6.6,22.8958,22.8947,30.4887,30.485,20.5459,20.5434,4.9453,98.055,5.0344,99.818,3.761,0.4021,0.5504,87.1451,1.6127,1.9327,29.30616,-94.3942,0,0,SEAMAP-B220,tran2
stnx.10,NA,6.846,6.8,22.8956,22.8959,30.477,30.4855,20.5371,20.5435,4.955,98.24,5.057,100.268,3.8273,0.4065,0.401,90.4644,1.4506,1.9612,29.30616,-94.39421,0,0,SEAMAP-B220,tran2
stnx.10,NA,7.048,7,22.896,22.8958,30.4901,30.4858,20.547,20.5437,4.9727,98.601,5.0456,100.042,3.903,0.467,0.3739,91.0748,1.3054,2.2027,29.30616,-94.39422,0,0,SEAMAP-B220,tran2
stnx.10,NA,7.249,7.2,22.8959,22.8929,30.4892,30.4877,20.5463,20.546,4.9714,98.574,5.0524,100.173,3.909,0.4608,0.3799,90.9404,1.2906,2.06,29.30616,-94.39422,0,0,SEAMAP-B220,tran2
stnx.10,NA,7.45,7.4,22.8891,22.8881,30.5175,30.5278,20.5697,20.5777,4.9707,98.563,5.0585,100.309,3.8558,0.4608,0.4238,89.948,1.2572,1.6769,29.30616,-94.39422,0,0,SEAMAP-B220,tran2
stnx.10,NA,7.652,7.6,22.9066,22.9147,30.5578,30.5803,20.5953,20.61,4.9559,98.325,5.0599,100.414,3.837,0.4687,0.4322,89.7575,1.1087,1.9731,29.30616,-94.39423,0,0,SEAMAP-B220,tran2
stnx.10,NA,7.853,7.8,22.9142,22.9217,30.5801,30.6084,20.61,20.6293,4.9472,98.177,5.0474,100.195,3.7866,0.4368,0.3668,91.2388,0.94932,1.8604,29.30617,-94.39424,0,0,SEAMAP-B220,tran2
stnx.10,NA,8.054,8,22.9177,22.9179,30.6091,30.6177,20.6309,20.6374,4.956,98.375,5.05,100.245,3.8181,0.4538,0.379,90.9614,0.93061,1.6646,29.30618,-94.39424,0,0,SEAMAP-B220,tran2
stnx.10,NA,8.256,8.2,22.9153,22.9118,30.6235,30.6269,20.6426,20.6461,4.9487,98.235,5.0456,100.153,3.8008,0.4338,0.3729,91.0989,0.89443,2.078,29.30618,-94.39424,0,0,SEAMAP-B220,tran2
stnx.10,NA,8.457,8.4,22.904,22.8923,30.631,30.6283,20.6514,20.6527,4.9429,98.105,5.0422,100.052,3.7593,0.4338,0.3686,91.1965,0.8344,2.8218,29.30618,-94.39424,0,0,SEAMAP-B220,tran2
