"","Cruise","depth","sal","temp","dissolvedO","dO_percent","id"
"8177","RP2",105,36.5228,20.7674,2.6366,52.132,"ADAPTIVE STN 2"
"8178","RP2",105.4,36.5542,20.7845,2.642,52.237,"ADAPTIVE STN 2"
"8179","RP2",105.6,36.522,20.7562,2.6488,52.362,"ADAPTIVE STN 2"
"8180","RP2",105.8,36.5236,20.7502,2.6487,52.356,"ADAPTIVE STN 2"
"8181","RP2",106,36.523,20.7474,2.6567,52.512,"ADAPTIVE STN 2"
"8182","RP2",106.2,36.5227,20.7392,2.6384,52.141,"ADAPTIVE STN 2"
"8183","RP2",106.4,36.5229,20.7314,2.6414,52.193,"ADAPTIVE STN 2"
"8184","RP2",106.6,36.5228,20.7201,2.638,52.116,"ADAPTIVE STN 2"
"8185","RP2",106.8,36.5217,20.7053,2.6253,51.849,"ADAPTIVE STN 2"
"8186","RP2",107,36.5243,20.6797,2.625,51.82,"ADAPTIVE STN 2"
"8187","RP2",107.2,36.5238,20.6669,2.6267,51.844,"ADAPTIVE STN 2"
"8188","RP2",107.4,36.5262,20.6166,2.6056,51.38,"ADAPTIVE STN 2"
"8189","RP2",107.6,36.5263,20.6012,2.6019,51.294,"ADAPTIVE STN 2"
"8190","RP2",107.8,36.5257,20.5719,2.5866,50.964,"ADAPTIVE STN 2"
"8191","RP2",108,36.5219,20.5347,2.5726,50.653,"ADAPTIVE STN 2"
"8192","RP2",108.2,36.5305,20.4381,2.5695,50.506,"ADAPTIVE STN 2"
"8193","RP2",108.4,36.5285,20.431,2.557,50.254,"ADAPTIVE STN 2"
"8194","RP2",108.6,36.5258,20.4291,2.5535,50.182,"ADAPTIVE STN 2"
"8195","RP2",108.2,36.5207,20.4123,2.5493,50.086,"ADAPTIVE STN 2"
"8196","RP2",108,36.5314,20.3924,2.5497,50.075,"ADAPTIVE STN 2"
"8197","RP2",107.8,36.5276,20.3987,2.5646,50.373,"ADAPTIVE STN 2"
"8198","RP2",107.6,36.5266,20.438,2.5789,50.691,"ADAPTIVE STN 2"
"8199","RP2",107.4,36.5287,20.4395,2.5675,50.467,"ADAPTIVE STN 2"
"8200","RP2",107.2,36.5294,20.4342,2.5733,50.577,"ADAPTIVE STN 2"
"8201","RP2",106.8,36.5141,20.4174,2.5737,50.575,"ADAPTIVE STN 2"
"8202","RP2",106.6,36.5249,20.4168,2.5746,50.584,"ADAPTIVE STN 2"
"8203","RP2",106.4,36.5359,20.4926,2.5744,50.655,"ADAPTIVE STN 2"
"8204","RP2",106.2,36.5287,20.5615,2.5958,51.138,"ADAPTIVE STN 2"
